timestamp,x_accel,y_accel,z_accel,label
200180,8600,11620,-5732,0
200231,9624,11896,-4940,0
200282,11044,12888,-3044,0
200333,10432,13320,-3716,0
200385,11116,14012,-3344,0
200436,10920,13744,-3952,0
200487,9420,13928,-4068,0
200538,8764,14100,-5692,0
200589,9348,15380,-4444,0
200640,9248,14732,-4140,0
200692,9332,13368,-2052,0
200743,9252,12912,-2488,0
200826,9188,11480,-1592,0
200878,9492,11548,-1472,0
200929,8712,11944,-2028,0
200980,9044,13460,-2172,0
201031,8384,13900,-3296,0
201083,8324,15648,-4528,0
201134,9024,15424,-5300,0
201184,8604,14884,-5708,0
201235,7568,14496,-6016,0
201286,6712,14704,-5864,0
201337,6512,14884,-5396,0
201389,6052,13968,-5040,0
201440,5736,13620,-5676,0
201491,6252,13504,-5600,0
201542,5788,13088,-6124,0
201593,6416,12188,-6876,0
201644,7224,12344,-7152,0
201696,7456,11700,-7804,0
201747,7524,13804,-7556,0
201798,7688,11424,-7464,0
201849,7376,11780,-7256,0
201900,7320,11644,-7244,0
201952,7660,11084,-6764,0
202003,7580,11348,-5948,0
202054,7236,11728,-5768,0
202105,7508,12476,-5180,0
202156,6560,12696,-5452,0
202207,7088,13532,-5336,0
202259,8548,14260,-3904,0
202310,7692,14368,-4160,0
202361,8596,14508,-3488,0
202412,9352,14568,-2604,0
202463,8628,14152,-3468,0
202514,9616,15140,-1692,0
202566,9460,14856,-1748,0
202617,9688,15612,-1628,0
202668,9380,14924,-2572,0
202719,10228,14296,-1952,0
202770,11524,13624,-1968,0
202826,11248,12392,-3148,0
202877,11928,11512,-3180,0
202928,12024,10496,-4404,0
202979,11796,9268,-5688,0
203031,12644,9288,-7420,0
203082,12400,8716,-9408,0
203133,11208,8264,-11784,0
203184,11080,9128,-11948,0
203235,10400,10200,-11160,0
203286,8696,9772,-10604,0
203338,7648,10056,-9476,0
203389,6328,10112,-9792,0
203440,4184,11604,-10336,0
203491,3364,11548,-10672,0
203542,1204,10908,-10676,0
203594,724,9940,-11316,0
203645,-1280,8864,-10820,0
203695,-3336,8468,-10988,0
203746,-3880,8756,-10280,0
203797,-4292,9484,-10932,0
203849,-6836,9628,-10396,0
203900,-6492,10268,-10668,0
203952,-5424,9708,-10308,0
204003,-5312,10192,-10744,0
204054,-4648,10256,-10468,0
204105,-2696,11024,-10696,0
204156,-2444,10460,-10556,0
204208,-2292,9664,-11440,0
204259,-80,7864,-11640,0
204310,248,8168,-11952,0
204361,2028,6708,-12500,0
204412,4400,7920,-11856,0
204463,6296,9880,-12736,0
204515,8616,10780,-13308,0
204566,9540,10844,-15564,0
204617,9232,11892,-16064,0
204668,7856,12228,-16656,0
204719,6688,12016,-14892,0
204770,5988,10960,-12896,0
204824,5364,11484,-12780,0
204877,3840,11168,-13004,0
204928,2292,10780,-13076,0
204979,1260,9336,-13308,0
205030,584,8504,-11996,0
205081,-2084,8568,-13212,0
205133,-2736,8092,-13636,0
205184,2568,8528,-11012,0
205235,-3552,6780,-13328,0
205286,-2352,6032,-13544,0
205337,576,5004,-11564,0
205388,-2736,5720,-15272,0
205440,-132,5932,-14892,0
205491,-536,4864,-16444,0
205542,-2396,4880,-17632,0
205593,-628,4292,-16736,0
205644,-3272,4152,-15076,0
205695,-2708,4292,-14380,0
205747,-4052,3948,-14868,0
205798,-3508,3696,-15108,0
205849,-2876,3272,-16404,0
205900,-1304,2216,-16808,0
205951,-12,640,-16328,0
206002,-40,820,-17148,0
206054,1980,120,-16184,0
206105,228,28,-15572,0
206156,572,-1512,-16744,0
206207,3404,-492,-17240,0
206258,3376,196,-16884,0
206309,3528,-212,-16932,0
206361,2792,-1176,-16020,0
206412,2804,-2036,-15528,0
206463,1176,-924,-16200,0
206514,2492,-1628,-15804,0
206565,1968,-1268,-17348,0
206616,2132,-1240,-17240,0
206668,704,-492,-17168,0
206719,0,-272,-15716,0
206770,-284,496,-16680,0
206823,-1556,884,-15912,0
206875,-3176,1172,-16052,0
206926,-2744,2436,-15292,0
206977,-4360,2776,-14896,0
207028,-4904,3620,-14824,0
207080,-5016,3552,-14416,0
207131,-3872,4256,-14480,0
207182,-2464,4152,-14680,0
207233,-1276,4364,-13732,0
207284,1164,5100,-13876,0
207335,2300,4148,-10832,0
207387,3860,6048,-13672,0
207438,3660,4924,-13816,0
207489,5544,7772,-13564,0
207540,5424,7864,-15608,0
207591,7052,10096,-14660,0
207642,7956,9708,-13836,0
207694,8904,9876,-13568,0
207745,8216,10448,-12620,0
207796,10376,11080,-12096,0
207847,9360,9248,-11852,0
207898,8028,9908,-14216,0
207950,8292,9520,-15280,0
208001,8992,9972,-16676,0
208053,9728,9416,-15332,0
208104,9640,8348,-13724,0
208155,9256,7496,-13740,0
208206,7492,5980,-12408,0
208257,8188,5792,-13020,0
208309,6776,4444,-12516,0
208360,6644,4576,-13256,0
208411,4720,3764,-13660,0
208462,4208,4300,-14564,0
208513,3908,3984,-13632,0
208564,3268,4288,-13184,0
208616,4068,4616,-12896,0
208667,1772,5356,-13880,0
208718,580,6032,-15280,0
208769,-756,5704,-15536,0
208854,-432,5984,-15200,0
208905,-408,6692,-14976,0
208957,-352,6344,-14564,0
209008,-440,6504,-14608,0
209060,144,6508,-13832,0
209110,304,6716,-13888,0
209161,368,7360,-13380,0
209212,824,8448,-13472,0
209263,1088,8576,-13744,0
209315,1216,8976,-13044,0
209366,2788,9836,-9612,0
209417,3428,11912,-9888,0
209468,3464,12444,-11308,0
209519,4816,11884,-9860,0
209570,4592,12412,-10004,0
209622,4720,13116,-11296,0
209673,5048,13908,-11604,0
209724,6904,14340,-10532,0
209775,6848,14660,-9840,0
209826,5096,14328,-10596,0
209877,5612,15012,-9936,0
209929,4884,15084,-10500,0
209980,5112,14780,-9548,0
210031,5672,14528,-9824,0
210083,6532,13832,-9756,0
210134,5976,13712,-9840,0
210185,5512,12004,-11724,0
210236,5380,11740,-12788,0
210287,5584,11384,-12964,0
210339,5728,10312,-12492,0
210390,5416,10160,-14544,0
210441,4880,8132,-14296,0
210492,4180,6720,-13456,0
210543,2992,4976,-12744,0
210594,2476,4904,-12988,0
210646,1460,4780,-13732,0
210697,640,5224,-14228,0
210747,-212,5288,-13980,0
210798,-1144,5444,-12708,0
210852,-2064,6060,-11572,0
210904,-4672,7256,-11988,0
210955,-4648,8392,-12216,0
211006,-5292,8772,-12268,0
211058,-4880,9152,-12148,0
211110,-5984,9836,-12604,0
211161,-5480,11408,-13620,0
211212,-6208,11136,-13692,0
211263,-5708,10988,-13864,0
211314,-5532,9828,-12760,0
211365,-5612,9740,-12728,0
211417,-4676,9348,-11712,0
211468,-4912,9236,-11060,0
211518,-4652,9688,-11044,0
211569,-4616,9804,-11148,0
211620,-3344,10824,-11592,0
211671,-2904,9948,-11732,0
211723,-2004,10076,-12732,0
211774,-1472,10280,-12924,0
211825,-448,8844,-12508,0
211876,344,9776,-13180,0
211927,516,9592,-14560,0
211978,368,10252,-15060,0
212030,624,10612,-15316,0
212081,188,10216,-14288,0
212132,1784,10700,-12728,0
212184,1616,9960,-11948,0
212235,1900,8948,-11632,0
212286,1636,6936,-12440,0
212337,3216,7536,-11964,0
212388,3836,7616,-12340,0
212440,5372,8084,-12868,0
212491,6620,9932,-12356,0
212542,6336,10200,-12764,0
212593,6776,10456,-12300,0
212644,6928,10796,-12372,0
212695,6760,11132,-13524,0
212747,7976,10804,-13116,0
212801,7692,10540,-12616,0
