TIMESTAMP,ECG,MOVEMENT
174564,32519,1.008
174666,32792,1.009
174768,32503,1.009
174870,32455,1.008
174972,32423,1.007
175074,32599,1.005
175177,32567,1.008
175279,32407,1.008
175381,32647,1.011
175483,32792,1.009
175585,32471,1.006
175687,32583,1.007
175789,32471,1.01
175891,32455,1.016
175993,32615,1.008
176095,32455,1.009
176198,32423,1.013
176300,32519,1.011
176402,32471,1.01
176504,32551,1.008
176606,32535,1.015
176708,32535,1.012
176810,32679,1.012
176912,32663,1.012
177014,32535,1.005
177117,32503,1.008
177219,32439,1.006
177321,32487,1.007
177423,32439,1.002
177525,32535,1.011
177627,32647,1.011
177729,32551,1.008
177831,32519,1.01
177933,32583,1.011
178035,32471,1.009
178138,32519,1.007
178240,32359,1.007
178342,32263,1.008
178444,32423,1.006
178546,32567,1.008
178648,32535,1.009
178750,32455,1.01
178852,32487,1.01
178954,32551,1.009
179056,32711,1.008
179159,32359,1.006
179261,32535,1.011
179363,32551,1.013
179465,32551,1.012
179567,32487,1.01
179669,32567,1.008
179771,32327,1.01
179873,32599,1.011
179975,32455,1.009

